bioguide_id,Bridge Grade,Senator,Party,State,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_P,adj_score_S,VV_ideology,PRL_ideology,Ideology_blended_score,2024 Election,label
C001075,A, Bill Cassidy,R,LA,92.26,Bridger,45,79.13,79.13,17,85.13,42.57,0.86,83.85,125.77,44.70,92.64,92.64,288,49.83,37.37,5.2,30.906,23.180,10,92.50,46.25,20,66.13,33.06,5.2,30.91,23.18,1.01,38.64,46.02,20,89.88,44.94,-0.052,47.90,23.95,640.37,12.0%,66.32,6.63,0.465,54.17,2.71,1.811, 60.22 ,3.01,112.4%,719.46,0.465,1.811,58.820,not up for election, Bill Cassidy (R) - LA
R000615,A, Mitt Romney,R,UT,91.78,Bridger,10,19.57,19.57,7,41.45,20.72,0.40,68.34,102.51,45.45,93.53,93.53,315,54.62,40.97,18.4,97.204,72.903,10,92.50,46.25,20,66.13,33.06,18.4,97.20,72.90,0.41,23.81,57.14,20,89.88,44.94,0.302,88.66,44.33,650.75,13.0%,72.00,7.20,0.283,19.51,0.98,1.370, 31.31 ,1.57,109.7%,714.14,0.283,1.370,38.354,retiring, Mitt Romney (R) - UT
P000595,A, Gary C. Peters,D,MI,91.52,Bridger,99,99.96,99.96,26,98.52,49.26,2.21,99.37,149.05,37.82,80.02,80.02,475,79.66,59.74,15.98,92.919,69.690,0,24.59,12.29,20,66.13,33.06,15.98,92.92,69.69,0.5,25.82,55.64,0,19.62,9.81,-0.182,30.30,15.15,700.51,1.0%,8.74,0.87,0.247,14.68,0.73,1.081, 16.44 ,0.82,101.6%,711.42,-0.247,-1.081,-55.012,not up for election, Gary C. Peters (D) - MI
R000608,A, Jacky Rosen,D,NV,90.81,Bridger,66,96.50,96.50,23,96.38,48.19,1.62,96.68,145.03,31.78,62.16,62.16,878,99.57,74.68,24.13,99.845,74.884,0,24.59,12.29,20,66.13,33.06,24.13,99.85,74.88,0.74,31.58,51.31,0,19.62,9.81,0.314,89.46,44.73,695.10,1.0%,8.74,0.87,0.287,20.10,1.00,0.743, 6.08 ,0.30,101.3%,704.19,-0.287,-0.743,-51.457,running, Jacky Rosen (D) - NV
G000386,A, Chuck Grassley,R,IA,89.36,Bridger,73,98.40,98.40,20,92.21,46.11,1.29,92.86,139.29,46.74,94.84,94.84,553,88.04,66.03,9.1,58.457,43.843,0,24.59,12.29,20,66.13,33.06,9.1,58.46,43.84,0.77,32.34,50.75,0,19.62,9.81,-0.037,50.03,25.02,650.57,6.0%,29.17,2.92,0.36,32.58,1.63,1.388, 32.40 ,1.62,106.2%,690.68,0.36,1.388,44.450,not up for election, Chuck Grassley (R) - IA
K000367,A, Amy Klobuchar,D,MN,88.96,Bridger,114,100.00,100.00,21,93.89,46.94,0.98,87.02,130.52,21.18,26.55,26.55,602,91.86,68.89,20.05,98.655,73.991,0,24.59,12.29,20,66.13,33.06,20.05,98.65,73.99,0.07,17.04,62.22,10,58.31,29.15,-0.348,13.41,6.71,669.92,1.0%,8.74,0.87,0.283,19.51,0.98,1.036, 14.62 ,0.73,102.6%,687.21,-0.283,-1.036,-56.517,running, Amy Klobuchar (D) - MN
K000383,A, Angus S. Jr. King,I,ME,88.82,Bridger,32,57.59,57.59,17,85.13,42.57,0.94,85.90,128.85,28.20,49.72,49.72,389,67.22,50.41,14.67,89.077,66.808,10,92.50,46.25,20,66.13,33.06,14.67,89.08,66.81,0,15.82,63.14,10,58.31,29.15,-0.192,29.07,14.53,680.61,2.0%,11.60,1.16,0.163,6.74,0.34,0.866, 9.02 ,0.45,100.8%,685.98,-0.163,-0.866,-45.491,running, Angus S. Jr. King (I) - ME
M000934,A, Jerry Moran,R,KS,82.06,Bridger,25,44.34,44.34,14,74.69,37.34,1.38,94.22,141.33,45.21,93.25,93.25,329,57.08,42.81,5.6,33.525,25.143,0,24.59,12.29,20,66.13,33.06,5.6,33.52,25.14,0.02,16.16,62.88,40,99.97,49.98,0.219,81.93,40.97,579.87,10.0%,53.90,5.39,0.414,43.43,2.17,1.613, 46.98 ,2.35,109.9%,637.34,0.414,1.613,52.266,not up for election, Jerry Moran (R) - KS
R000605,B, Mike Rounds,R,SD,78.22,Bridger,17,30.03,30.03,10,56.41,28.21,0.70,79.21,118.82,33.12,66.54,66.54,173,30.26,22.69,7.84,49.343,37.007,10,92.50,46.25,20,66.13,33.06,7.84,49.34,37.01,0.41,23.81,57.14,10,58.31,29.15,0.092,67.74,33.87,552.17,16.0%,85.72,8.57,0.346,29.96,1.50,1.273, 25.76 ,1.29,111.4%,614.88,0.346,1.273,41.229,not up for election, Mike Rounds (R) - SD
B001230,B, Tammy Baldwin,D,WI,78.21,Bridger,38,68.34,68.34,10,56.41,28.21,0.29,63.77,95.66,19.24,21.27,21.27,601,91.79,68.84,11.92,76.685,57.513,10,92.50,46.25,20,66.13,33.06,11.92,76.68,57.51,0.34,22.31,58.27,0,19.62,9.81,-0.137,36.11,18.06,590.99,2.0%,11.60,1.16,0.491,59.58,2.98,1.183, 21.10 ,1.06,104.0%,614.83,-0.491,-1.183,-69.394,running, Tammy Baldwin (D) - WI
C000174,B, Thomas R. Carper,D,DE,77.91,Bridger,19,33.42,33.42,12,66.02,33.01,0.14,57.68,86.52,29.57,54.56,54.56,418,71.74,53.81,12.98,82.175,61.631,10,92.50,46.25,20,66.13,33.06,12.98,82.17,61.63,0.19,19.27,60.54,0,19.62,9.81,-0.223,25.40,12.70,580.50,7.0%,34.94,3.49,0.179,7.92,0.40,1.427, 34.78 ,1.74,105.6%,613.18,-0.179,-1.427,-55.708,retiring, Thomas R. Carper (D) - DE
R000595,B, Marco Rubio,R,FL,74.92,Bridger,77,99.03,99.03,15,78.54,39.27,0.08,54.72,82.08,37.18,78.41,78.41,419,71.89,53.92,6.59,40.334,30.251,0,24.59,12.29,20,66.13,33.06,6.59,40.33,30.25,1.09,40.81,44.39,10,58.31,29.15,-0.184,30.05,15.03,544.40,3.0%,15.07,1.51,0.615,81.58,4.08,2.218, 82.82 ,4.14,109.7%,597.35,0.615,2.218,72.684,not up for election, Marco Rubio (R) - FL
W000790,B, Raphael G. Warnock,D,GA,74.54,Bridger,14,25.25,25.25,17,85.13,42.57,1.00,87.44,131.15,44.36,92.22,92.22,293,50.72,38.04,12.48,79.694,59.771,0,24.59,12.29,20,66.13,33.06,12.48,79.69,59.77,0.34,22.31,58.27,0,19.62,9.81,0.332,90.58,45.29,574.50,3.0%,15.07,1.51,0.409,42.39,2.12,1.358, 30.60 ,1.53,103.6%,595.47,-0.409,-1.358,-68.485,not up for election, Raphael G. Warnock (D) - GA
D000563,B, Richard J. Durbin,D,IL,73.96,Bridger,46,80.47,80.47,8,46.40,23.20,-0.01,50.82,76.23,17.62,17.35,17.35,973,99.89,74.91,7.76,48.760,36.570,10,92.50,46.25,20,66.13,33.06,7.76,48.76,36.57,0.64,29.11,53.17,10,58.31,29.15,-0.305,17.00,8.50,553.19,7.0%,34.94,3.49,0.348,30.33,1.52,1.538, 41.95 ,2.10,107.1%,592.51,-0.348,-1.538,-67.853,not up for election, Richard J. Durbin (D) - IL
M001153,B, Lisa Murkowski,R,AK,72.89,Bridger,25,44.34,44.34,18,87.86,43.93,1.54,95.96,143.94,63.61,99.91,99.91,197,34.09,25.57,5.98,36.089,27.067,0,24.59,12.29,20,66.13,33.06,5.98,36.09,27.07,0.09,17.40,61.95,10,58.31,29.15,-0.314,16.21,8.10,560.58,8.0%,41.09,4.11,0.208,10.44,0.52,0.488, 2.39 ,0.12,104.8%,587.21,0.208,0.488,13.610,not up for election, Lisa Murkowski (R) - AK
K000377,B, Mark Kelly,D,AZ,71.80,Bridger,21,36.96,36.96,16,82.03,41.01,0.49,71.89,107.83,37.87,80.15,80.15,205,35.41,26.56,14.53,88.591,66.443,0,24.59,12.29,20,66.13,33.06,14.53,88.59,66.44,0.14,18.32,61.26,10,58.31,29.15,0.255,85.11,42.55,573.46,2.0%,11.60,1.16,0.217,11.33,0.57,1.119, 18.11 ,0.91,101.5%,581.90,-0.217,-1.119,-53.666,not up for election, Mark Kelly (D) - AZ
C001096,B, Kevin Cramer,R,ND,71.68,Bridger,8,17.04,17.04,6,36.62,18.31,0.01,51.70,77.55,31.42,60.92,60.92,275,47.52,35.64,9.28,59.734,44.800,10,92.50,46.25,20,66.13,33.06,9.28,59.73,44.80,0.67,29.84,52.62,10,58.31,29.15,0.375,92.90,46.45,506.40,20.0%,95.68,9.57,0.4,40.53,2.03,1.872, 64.13 ,3.21,114.8%,581.35,0.4,1.872,55.530,running, Kevin Cramer (R) - ND
W000437,B, Roger F. Wicker,R,MS,66.88,Bridger,45,79.13,79.13,18,87.86,43.93,0.65,77.68,116.52,41.99,88.70,88.70,194,33.60,25.20,3.79,22.484,16.863,0,24.59,12.29,20,66.13,33.06,3.79,22.48,16.86,0.76,32.08,50.94,0,19.62,9.81,0.346,91.39,45.70,505.60,11.0%,60.24,6.02,0.376,35.69,1.78,1.739, 55.45 ,2.77,110.6%,559.10,0.376,1.739,51.767,running, Roger F. Wicker (R) - MS
W000800,B, Peter Welch,D,VT,66.79,Bridger,26,46.76,46.76,9,51.42,25.71,-0.71,22.39,33.58,28.20,49.72,49.72,240,41.36,31.02,8.14,51.528,38.646,10,92.50,46.25,20,66.13,33.06,8.14,51.53,38.65,0.5,25.82,55.64,20,89.88,44.94,-0.38,11.10,5.55,490.23,16.0%,85.72,8.57,0.41,42.60,2.13,1.890, 65.28 ,3.26,114.0%,558.70,-0.41,-1.890,-75.150,not up for election, Peter Welch (D) - VT
B001236,B, John Boozman,R,AR,66.73,Bridger,18,31.71,31.71,17,85.13,42.57,0.68,78.41,117.62,40.40,85.77,85.77,164,28.87,21.66,6.65,40.759,30.569,0,24.59,12.29,20,66.13,33.06,6.65,40.76,30.57,0.04,16.51,62.62,0,19.62,9.81,0.336,90.82,45.41,490.54,16.0%,85.72,8.57,0.427,46.15,2.31,1.795, 59.21 ,2.96,113.8%,558.43,0.427,1.795,56.152,not up for election, John Boozman (R) - AR
H000273,B, John W. Hickenlooper,D,CO,65.32,Bridger,12,22.31,22.31,4,27.64,13.82,0.41,68.85,103.28,26.67,44.35,44.35,252,43.46,32.59,11.09,71.801,53.851,10,92.50,46.25,20,66.13,33.06,11.09,71.80,53.85,0.62,28.63,53.53,10,58.31,29.15,-0.035,50.32,25.16,532.30,4.0%,19.17,1.92,0.246,14.56,0.73,1.196, 21.71 ,1.09,103.7%,552.16,-0.246,-1.196,-56.817,not up for election, John W. Hickenlooper (D) - CO
T000476,B, Thomas Tillis,R,NC,65.27,Bridger,10,19.57,19.57,6,36.62,18.31,0.20,60.18,90.28,36.18,75.74,75.74,182,31.67,23.76,9.15,58.812,44.109,10,92.50,46.25,20,66.13,33.06,9.15,58.81,44.11,1.21,44.13,41.90,20,89.88,44.94,-0.103,40.74,20.37,528.27,3.0%,15.07,1.51,0.388,38.09,1.90,1.189, 21.38 ,1.07,104.5%,551.94,0.388,1.189,42.544,not up for election, Thomas Tillis (R) - NC
W000805,B, Mark R. Warner,D,VA,63.97,Bridger,25,44.34,44.34,11,61.30,30.65,0.56,74.27,111.40,26.64,44.27,44.27,276,47.70,35.77,10.22,66.206,49.655,0,24.59,12.29,20,66.13,33.06,10.22,66.21,49.65,0.11,17.77,61.68,20,89.88,44.94,-0.051,48.04,24.02,530.01,3.0%,15.07,1.51,0.207,10.35,0.52,1.179, 20.92 ,1.05,103.1%,546.29,-0.207,-1.179,-53.961,not up for election, Mark R. Warner (D) - VA
C001113,B, Catherine Cortez Masto,D,NV,63.71,Bridger,41,73.25,73.25,11,61.30,30.65,0.22,61.14,91.71,22.79,31.41,31.41,348,60.38,45.29,9.79,63.291,47.469,10,92.50,46.25,20,66.13,33.06,9.79,63.29,47.47,1.8,60.61,29.55,0,19.62,9.81,0.315,89.52,44.76,532.16,1.0%,8.74,0.87,0.36,32.58,1.63,1.076, 16.25 ,0.81,102.4%,545.15,-0.36,-1.076,-61.601,not up for election, Catherine Cortez Masto (D) - NV
G000359,B, Lindsey Graham,R,SC,62.58,Bridger,13,23.76,23.76,2,19.90,9.95,0.38,67.61,101.42,45.50,93.58,93.58,85,18.16,13.62,5.37,32.008,24.006,10,92.50,46.25,20,66.13,33.06,5.37,32.01,24.01,0.88,35.17,48.62,20,89.88,44.94,-0.281,19.26,9.63,509.46,8.0%,41.09,4.11,0.367,33.93,1.70,0.676, 4.83 ,0.24,106.0%,540.27,0.367,0.676,30.096,not up for election, Lindsey Graham (R) - SC
B001267,B, Michael F. Bennet,D,CO,62.00,Bridger,21,36.96,36.96,12,66.02,33.01,0.25,62.14,93.21,23.92,35.05,35.05,554,88.13,66.10,9.27,59.663,44.747,0,24.59,12.29,20,66.13,33.06,9.27,59.66,44.75,0.1,17.58,61.81,20,89.88,44.94,-0.159,33.22,16.61,518.22,4.0%,19.17,1.92,0.232,12.93,0.65,1.247, 24.33 ,1.22,103.8%,537.81,-0.232,-1.247,-56.698,not up for election, Michael F. Bennet (D) - CO
B000944,B, Sherrod Brown,D,OH,60.33,Bridger,49,84.17,84.17,8,46.40,23.20,0.13,56.90,85.35,17.75,17.64,17.64,726,97.43,73.07,10.55,68.380,51.285,0,24.59,12.29,20,66.13,33.06,10.55,68.38,51.28,0.06,16.86,62.35,0,19.62,9.81,-0.098,41.43,20.71,515.82,6.0%,29.17,2.92,0.426,45.94,2.30,0.956, 11.77 ,0.59,102.9%,530.70,-0.426,-0.956,-62.814,running, Sherrod Brown (D) - OH
C000141,B, Benjamin L. Cardin,D,MD,57.63,Bridger,48,82.99,82.99,14,74.69,37.34,-0.24,40.72,61.08,21.55,27.63,27.63,357,61.92,46.44,5.29,31.488,23.616,0,24.59,12.29,20,66.13,33.06,5.29,31.49,23.62,0.12,17.95,61.54,20,89.88,44.94,-0.224,25.29,12.64,466.85,14.0%,77.17,7.72,0.32,25.35,1.27,1.590, 45.47 ,2.27,111.3%,519.41,-0.32,-1.590,-66.972,retiring, Benjamin L. Cardin (D) - MD
O000174,B, Jon Ossoff,D,GA,57.15,Bridger,19,33.42,33.42,2,19.90,9.95,0.23,61.28,91.91,23.55,33.84,33.84,428,73.23,54.92,24.81,99.897,74.923,0,24.59,12.29,20,66.13,33.06,24.81,99.90,74.92,0.23,20.06,59.96,0,19.62,9.81,0.407,94.32,47.16,501.31,3.0%,15.07,1.51,0.422,45.10,2.26,1.142, 19.14 ,0.96,103.2%,517.42,-0.422,-1.142,-65.772,not up for election, Jon Ossoff (D) - GA
F000463,B, Deb Fischer,R,NE,56.37,Bridger,24,42.47,42.47,12,66.02,33.01,0.49,71.69,107.54,37.86,80.13,80.13,163,28.72,21.54,5.6,33.525,25.143,0,24.59,12.29,20,66.13,33.06,5.6,33.52,25.14,0.83,33.87,49.59,0,19.62,9.81,0.32,89.84,44.92,452.03,13.0%,72.00,7.20,0.463,53.75,2.69,2.100, 77.29 ,3.86,113.8%,514.19,0.463,2.100,62.918,running, Deb Fischer (R) - NE
L000575,B, James Lankford,R,OK,52.07,Bridger,17,30.03,30.03,0,13.64,6.82,-0.01,51.10,76.65,22.69,31.10,31.10,218,37.59,28.19,4.3,25.372,19.029,10,92.50,46.25,20,66.13,33.06,4.3,25.37,19.03,0.43,24.25,56.81,10,58.31,29.15,0.144,74.07,37.04,422.38,20.0%,95.68,9.57,0.592,78.16,3.91,2.194, 81.80 ,4.09,117.6%,496.57,0.592,2.194,71.302,not up for election, James Lankford (R) - OK
B001310,B, Mike Braun,R,IN,49.03,Bridger,21,36.96,36.96,1,16.58,8.29,0.70,79.33,118.99,25.13,39.07,39.07,111,21.38,16.03,7.34,45.709,34.282,0,24.59,12.29,20,66.13,33.06,7.34,45.71,34.28,1.12,41.64,43.77,10,58.31,29.15,0.6,98.84,49.42,418.48,11.0%,60.24,6.02,0.8,96.99,4.85,2.731, 96.52 ,4.83,115.7%,484.18,0.8,2.731,84.900,governor race, Mike Braun (R) - IN
S000148,B, Charles E. Schumer,D,NY,47.84,Bridger,24,42.47,42.47,10,56.41,28.21,-0.02,50.66,75.99,14.63,11.43,11.43,1419,100.00,75.00,12.92,81.888,61.416,0,24.59,12.29,20,66.13,33.06,12.92,81.89,61.42,2.4,75.58,18.32,0,19.62,9.81,-0.418,8.75,4.37,441.70,10.0%,53.90,5.39,0.354,31.45,1.57,1.365, 31.00 ,1.55,108.5%,479.30,-0.354,-1.365,-65.791,not up for election, Charles E. Schumer (D) - NY
C000127,B, Maria Cantwell,D,WA,44.36,Bridger,20,35.18,35.18,11,61.30,30.65,0.21,60.62,90.93,20.69,25.16,25.16,321,55.68,41.76,9.29,59.804,44.853,0,24.59,12.29,20,66.13,33.06,9.29,59.80,44.85,0.61,28.39,53.71,0,19.62,9.81,-0.409,9.27,4.63,434.55,8.0%,41.09,4.11,0.305,22.88,1.14,1.438, 35.48 ,1.77,107.0%,465.08,-0.305,-1.438,-64.068,running, Maria Cantwell (D) - WA
M001169,B, Christopher Murphy,D,CT,42.22,Bridger,18,31.71,31.71,4,27.64,13.82,-0.86,17.77,26.66,15.82,13.57,13.57,293,50.72,38.04,10.13,65.603,49.203,10,92.50,46.25,20,66.13,33.06,10.13,65.60,49.20,1.56,53.97,34.53,20,89.88,44.94,-0.212,26.68,13.34,427.24,7.0%,34.94,3.49,0.272,17.94,0.90,1.626, 47.86 ,2.39,106.8%,456.22,-0.272,-1.626,-64.547,running, Christopher Murphy (D) - CT
T000250,B, John Thune,R,SD,41.82,Bridger,38,68.34,68.34,11,61.30,30.65,0.06,53.84,80.76,29.07,52.81,52.81,182,31.67,23.76,3.94,23.313,17.485,0,24.59,12.29,20,66.13,33.06,3.94,23.31,17.48,2.25,72.13,20.90,10,58.31,29.15,0.23,82.95,41.47,399.00,16.0%,85.72,8.57,0.432,47.21,2.36,1.804, 59.74 ,2.99,113.9%,454.53,0.432,1.804,56.606,not up for election, John Thune (R) - SD
S000770,B, Debbie Stabenow,D,MI,40.64,Bridger,33,59.45,59.45,15,78.54,39.27,0.07,54.26,81.40,24.82,38.02,38.02,202,34.91,26.18,6.54,39.981,29.986,0,24.59,12.29,20,66.13,33.06,6.54,39.98,29.99,1.04,39.45,45.41,10,58.31,29.15,-0.015,53.16,26.58,436.50,1.0%,8.74,0.87,0.343,29.41,1.47,1.360, 30.73 ,1.54,103.0%,449.62,-0.343,-1.360,-65.127,retiring, Debbie Stabenow (D) - MI
S001198,B, Dan Sullivan,R,AK,37.85,Bridger,27,48.13,48.13,7,41.45,20.72,-0.14,44.97,67.45,35.56,73.97,73.97,274,47.34,35.51,4.83,28.567,21.426,0,24.59,12.29,0,3.06,1.53,4.83,28.57,21.43,0.69,30.34,52.25,10,58.31,29.15,0.102,69.00,34.50,396.15,8.0%,41.09,4.11,0.493,59.99,3.00,1.937, 68.17 ,3.41,110.5%,437.82,0.493,1.937,62.439,not up for election, Dan Sullivan (R) - AK
C001070,B, Robert P. Jr. Casey,D,PA,37.80,Bridger,52,87.38,87.38,9,51.42,25.71,-0.23,41.34,62.01,19.35,21.55,21.55,274,47.34,35.51,7.28,45.275,33.956,0,24.59,12.29,20,66.13,33.06,7.28,45.27,33.96,0.19,19.27,60.54,0,19.62,9.81,0.168,76.76,38.38,428.08,2.0%,11.60,1.16,0.313,24.18,1.21,1.168, 20.36 ,1.02,102.2%,437.61,-0.313,-1.168,-60.495,running, Robert P. Jr. Casey (D) - PA
C000880,C, Mike Crapo,R,ID,37.67,Divider,11,20.91,20.91,5,32.00,16.00,-0.10,46.82,70.23,26.86,45.01,45.01,205,35.41,26.56,8.83,56.525,42.394,0,24.59,12.29,20,66.13,33.06,8.83,56.53,42.39,1.03,39.18,45.62,0,19.62,9.81,0.293,88.03,44.01,376.58,18.0%,91.79,9.18,0.504,62.22,3.11,2.064, 75.39 ,3.77,116.1%,437.05,0.504,2.064,64.887,not up for election, Mike Crapo (R) - ID
S001203,C, Tina Smith,D,MN,35.77,Divider,34,61.28,61.28,13,70.50,35.25,-0.14,45.07,67.61,18.52,19.46,19.46,111,21.38,16.03,5.25,31.229,23.421,10,92.50,46.25,20,66.13,33.06,5.25,31.23,23.42,1.89,63.03,27.73,0,19.62,9.81,-0.068,45.63,22.82,409.58,1.0%,8.74,0.87,0.396,39.71,1.99,1.459, 36.81 ,1.84,104.7%,428.83,-0.396,-1.459,-69.279,not up for election, Tina Smith (D) - MN
K000384,C, Tim Kaine,D,VA,35.50,Divider,24,42.47,42.47,7,41.45,20.72,0.05,53.60,80.40,19.04,20.74,20.74,325,56.38,42.29,7.52,47.015,35.261,0,24.59,12.29,20,66.13,33.06,7.52,47.01,35.26,0.76,32.08,50.94,10,58.31,29.15,-0.069,45.49,22.75,414.88,3.0%,15.07,1.51,0.247,14.68,0.73,1.089, 16.81 ,0.84,103.1%,427.66,-0.247,-1.089,-55.157,running, Tim Kaine (D) - VA
H001061,C, John Hoeven,R,ND,33.57,Divider,13,23.76,23.76,9,51.42,25.71,-0.09,47.45,71.17,32.12,63.28,63.28,78,17.35,13.01,4.32,25.489,19.117,0,24.59,12.29,20,66.13,33.06,4.32,25.49,19.12,0.11,17.77,61.68,0,19.62,9.81,0.459,96.15,48.07,364.29,20.0%,95.68,9.57,0.397,39.92,2.00,1.966, 69.91 ,3.50,115.1%,419.15,0.397,1.966,56.730,not up for election, John Hoeven (R) - ND
